company.founded,demographics.age,demographics.gender,location.citizenship,location.region,wealth.how.industry,wealth.how.inherited
1971,75,male,Japan,East Asia,"Retail, Restaurant",not inherited
1972,60,male,Germany,Europe,Technology-Computer,not inherited
1912,55,male,Switzerland,Europe,Constrution,4th generation
1986,0,male,Thailand,East Asia,Real Estate,not inherited
1946,62,male,United States,North America,Consumer,father
1946,59,male,United States,North America,Consumer,father
1956,71,male,United States,North America,Media,not inherited
1974,70,male,United Kingdom,Europe,Other,not inherited
1870,85,male,United States,North America,Energy,3rd generation
1890,0,male,Mexico,Latin America,0,3rd generation
1940,0,female,United States,North America,"Retail, Restaurant",spouse/widow
1968,60,male,United States,North America,Media,not inherited
1936,63,male,Australia,North America,Media,3rd generation
1923,0,male,Germany,Europe,"Retail, Restaurant",3rd generation
1926,70,male,Turkey,Middle East/North Africa,Money Management,3rd generation
1963,77,male,Germany,Europe,"Retail, Restaurant",not inherited
1980,47,male,United States,North America,Money Management,not inherited
1974,55,male,Japan,East Asia,Technology-Computer,not inherited
1970,57,male,United States,North America,Media,not inherited
1822,61,male,France,Europe,Diversified financial,3rd generation
1813,0,male,United States,North America,Consumer,3rd generation
1961,85,male,Canada,North America,Diversified financial,not inherited
1951,74,male,Indonesia,East Asia,Consumer,not inherited
1945,0,male,Argentina,Latin America,Diversified financial,not inherited
1939,0,female,Brazil,Latin America,Constrution,not inherited
1946,0,male,Italy,Europe,Consumer,father
1905,72,male,Germany,Europe,Consumer,not inherited
1980,67,male,Austria,Europe,"Retail, Restaurant",not inherited
1955,68,male,Hong Kong,East Asia,Real Estate,father
1909,0,male,France,Europe,Consumer,3rd generation
1954,0,male,France,Europe,Diversified financial,not inherited
1880,0,,France,Europe,Non-consumer industrial,5th generation or longer
1789,0,male,Germany,Europe,Money Management,4th generation
1968,71,male,China,East Asia,Consumer,not inherited
1955,50,male,Hong Kong,East Asia,Real Estate,father
1972,73,male,Germany,Europe,Technology-Computer,not inherited
1950,63,male,Israel,Middle East/North Africa,Real Estate,father
1987,58,male,New Zealand,North America,Diversified financial,not inherited
1857,46,male,India,South Asia,Mining and metals,4th generation
1967,74,male,United States,North America,Consumer,not inherited
1952,0,male,Indonesia,East Asia,Diversified financial,not inherited
1972,0,female,Israel,Middle East/North Africa,"Retail, Restaurant",father
1965,60,male,Italy,Europe,Consumer,not inherited
1991,39,male,United States,North America,Technology-Computer,not inherited
1946,0,male,United States,North America,Consumer,not inherited
1932,62,male,United States,North America,Real Estate,father
1993,37,male,Russia,Europe,Energy,not inherited
1955,28,male,Mexico,Latin America,Media,father
1957,0,male,Philippines,East Asia,Diversified financial,not inherited
1712,76,male,United Kingdom,Europe,Real Estate,5th generation or longer
1957,80,male,United States,North America,Diversified financial,not inherited
1959,88,male,United States,North America,Consumer,not inherited
1989,47,male,Russia,Europe,Diversified financial,not inherited
1984,50,male,China,East Asia,Consumer,not inherited
1997,32,female,China,East Asia,Real Estate,father
1960,71,male,Philippines,East Asia,"Retail, Restaurant",not inherited
1975,0,male,Philippines,East Asia,Real Estate,not inherited
1940,58,male,United States,North America,Energy,father
1904,60,male,United States,North America,Energy,father
1991,46,male,United States,North America,Technology-Computer,not inherited
1952,49,male,France,Europe,Media,father
1967,62,male,United States,North America,Consumer,not inherited
1934,58,male,United States,North America,Energy,father
1966,60,male,United States,North America,"Retail, Restaurant",not inherited
1886,73,male,Germany,Europe,Consumer,father
1962,68,female,United States,North America,Consumer,spouse/widow
1974,0,male,Taiwan,East Asia,Technology-Computer,not inherited
1932,78,male,United States,North America,Non-consumer industrial,not inherited
1857,61,male,Spain,Europe,Money Management,father
1912,50,male,Switzerland,Europe,Constrution,4th generation
1971,51,male,United States,North America,Media,not inherited
1940,60,male,United States,North America,Energy,father
1967,75,male,South Korea,East Asia,Consumer,father
2004,29,male,United States,North America,Technology-Computer,not inherited
2009,38,male,United States,North America,Technology-Computer,not inherited
1940,55,male,United States,North America,Energy,father
1919,70,male,United States,North America,Money Management,father
1864,63,male,United States,North America,Real Estate,not inherited
1950,53,male,Egypt,Europe,Constrution,father
1888,68,male,South Africa,Sub-Saharan Africa,Mining and metals,3rd generation
1946,60,female,United States,North America,"Retail, Restaurant",spouse/widow
1976,53,male,United States,North America,Technology-Computer,not inherited
1974,68,male,Japan,East Asia,Technology-Computer,not inherited
1934,53,male,United States,North America,Energy,father
1936,46,male,Australia,North America,Real Estate,3rd generation
1990,57,male,Russia,Europe,Energy,not inherited
1972,64,male,United States,North America,"Retail, Restaurant",father
1994,46,male,Russia,Europe,Mining and metals,not inherited
1946,0,male,United States,North America,Consumer,not inherited
1886,64,female,United States,North America,Technology-Medical,spouse/widow
1959,59,male,Canada,North America,Technology-Medical,father
1987,60,male,United States,North America,Technology-Computer,not inherited
1960,70,male,Australia,North America,Real Estate,not inherited
1968,63,male,United States,North America,0,not inherited
1969,65,male,United States,North America,Technology-Computer,not inherited
1964,63,male,France,Europe,Media,not inherited
1905,87,male,Denmark,Europe,Diversified financial,father
1946,65,female,United States,North America,"Retail, Restaurant",spouse/widow
1962,49,female,United States,North America,"Retail, Restaurant",father
1976,55,male,India,South Asia,Technology-Computer,not inherited
1934,54,male,Japan,East Asia,Consumer,father
1993,48,male,United States,North America,Technology-Computer,not inherited
1946,69,male,United States,North America,Consumer,not inherited
1912,0,male,Japan,East Asia,Technology-Medical,father
1958,0,male,Thailand,East Asia,Constrution,not inherited
1890,0,female,Mexico,Latin America,Consumer,spouse/widow
1962,51,female,Hong Kong,East Asia,Real Estate,father
1963,70,male,Malaysia,East Asia,Money Management,not inherited
1919,53,male,United States,North America,Energy,father
1869,46,female,United States,North America,Consumer,3rd generation
1970,53,male,United States,North America,Media,not inherited
1968,50,female,United States,North America,Non-consumer industrial,father
1873,75,male,United States,North America,Non-consumer industrial,3rd generation
1974,57,male,Australia,North America,Mining and metals,not inherited
1968,44,female,United States,North America,Non-consumer industrial,father
1945,0,male,Italy,Europe,Non-consumer industrial,3rd generation
1994,50,male,France,Europe,Media,not inherited
1968,52,female,United States,North America,Non-consumer industrial,father
1968,31,male,United States,North America,Non-consumer industrial,father
1891,32,male,United States,North America,Consumer,4th generation
1929,87,male,United States,North America,Consumer,not inherited
1936,58,male,Australia,North America,Media,3rd generation
1972,52,male,Germany,Europe,Technology-Computer,not inherited
1938,82,male,Germany,Europe,"Retail, Restaurant",not inherited
1920,0,male,Hong Kong,East Asia,Real Estate,father
1863,0,male,Italy,Europe,Consumer,4th generation
1957,0,male,Saudi Arabia,Middle East/North Africa,Money Management,not inherited
1951,74,male,Italy,Europe,Consumer,not inherited
1881,66,male,Germany,Europe,Technology-Medical,4th generation
1816,70,male,United Kingdom,Europe,Diversified financial,4th generation
1947,68,male,United States,North America,Money Management,father
1900,0,male,United States,North America,Mining and metals,3rd generation
1919,84,male,Bermuda,North America,Technology-Medical,not inherited
1869,57,male,Ireland,Europe,Consumer,3rd generation
1973,52,male,United States,North America,Consumer,not inherited
1950,0,male,Israel,Middle East/North Africa,Consumer,father
1928,73,male,Switzerland,Europe,Other,father
1994,54,male,United States,North America,Media,not inherited
1955,0,male,Lebanon,Middle East/North Africa,Money Management,not inherited
1966,56,male,Malaysia,East Asia,Money Management,not inherited
1947,72,male,United States,North America,Money Management,father
1946,92,male,United States,North America,"Retail, Restaurant",not inherited
1936,90,male,United States,North America,Media,father
1960,63,male,Mexico,Latin America,Mining and metals,father
1903,0,male,Taiwan,East Asia,Consumer,3rd generation
1932,0,,United Kingdom,Europe,"Retail, Restaurant",father
1970,71,male,United States,North America,Media,not inherited
1999,50,male,Russia,Europe,Mining and metals,not inherited
1982,79,male,Philippines,East Asia,Diversified financial,not inherited
1989,58,male,Russia,Europe,Energy,not inherited
1883,68,male,United States,North America,Real Estate,4th generation
1975,45,female,Spain,Europe,Consumer,father
1968,75,male,United States,North America,Technology-Medical,not inherited
1869,63,male,United States,North America,Consumer,3rd generation
1925,62,male,United States,North America,Media,not inherited
1920,50,male,Chile,Latin America,Consumer,father
0,0,,Greece,Europe,Money Management,not inherited
1869,52,male,Ireland,Europe,Consumer,3rd generation
1960,0,male,Japan,East Asia,Real Estate,not inherited
1943,69,male,Sweden,Europe,"Retail, Restaurant",not inherited
1923,82,male,Portugal,Europe,Money Management,father
1951,0,male,Turkey,Middle East/North Africa,Money Management,not inherited
1975,0,male,United States,North America,Media,not inherited
1958,72,male,United States,North America,Money Management,not inherited
1997,0,male,United States,North America,Money Management,not inherited
1926,0,male,Switzerland,Europe,Non-consumer industrial,3rd generation
1898,61,male,Germany,Europe,Media,father
1938,87,male,Germany,Europe,"Retail, Restaurant",not inherited
1994,37,male,United States,North America,"Retail, Restaurant",not inherited
1972,61,male,United States,North America,"Retail, Restaurant",not inherited
1984,67,male,United States,North America,Technology-Computer,not inherited
1964,63,male,United States,North America,Technology-Computer,not inherited
1931,58,male,United States,North America,Money Management,father
1979,65,male,United States,North America,Technology-Computer,not inherited
1971,34,male,Hong Kong,East Asia,Media,father
1912,79,male,United States,North America,0,father
1985,38,male,United States,North America,Technology-Computer,not inherited
1988,73,female,China,East Asia,Real Estate,not inherited
1997,55,male,Ireland,Europe,Media,not inherited
1999,50,male,Russia,Europe,Constrution,not inherited
1975,79,male,United States,North America,Diversified financial,not inherited
1882,85,male,Canada,North America,Diversified financial,3rd generation
1913,68,male,Italy,Europe,Consumer,father
1933,0,male,Thailand,East Asia,Consumer,3rd generation
1989,0,male,Thailand,East Asia,Media,not inherited
1904,45,male,United States,North America,Energy,father
1985,33,male,United States,North America,Technology-Computer,not inherited
1938,0,male,United States,North America,Real Estate,not inherited
1940,0,female,United States,North America,"Retail, Restaurant",spouse/widow
1971,76,male,United States,North America,Money Management,not inherited
1964,79,male,United States,North America,Constrution,not inherited
1963,80,female,United States,North America,Technology-Medical,not inherited
1990,62,male,United States,North America,Private equity/leveraged buyout,not inherited
1972,46,male,United States,North America,"Retail, Restaurant",father
1971,63,male,Colombia,Latin America,Money Management,not inherited
1961,0,male,France,Europe,"Retail, Restaurant",not inherited
1822,0,,Germany,Europe,Non-consumer industrial,3rd generation
1997,55,male,China,East Asia,Real Estate,not inherited
1988,63,male,Hong Kong,East Asia,Real Estate,not inherited
1950,58,male,Israel,Middle East/North Africa,Energy,father
1973,60,male,Spain,Europe,Consumer,not inherited
1951,54,male,Sweden,Europe,Other,3rd generation
1963,76,male,United States,North America,Consumer,not inherited
1964,76,male,United States,North America,Media,not inherited
1980,56,male,India,South Asia,Media,not inherited
1972,55,male,Germany,Europe,Technology-Computer,not inherited
1963,0,male,Hong Kong,East Asia,Real Estate,not inherited
1951,55,male,Indonesia,East Asia,Money Management,not inherited
1946,0,male,Japan,East Asia,Consumer,not inherited
1950,-42,male,Japan,East Asia,"Retail, Restaurant",not inherited
1940,0,male,South Africa,Sub-Saharan Africa,Consumer,father
1677,44,male,United Kingdom,Europe,Real Estate,5th generation or longer
1960,47,male,United Arab Emirates,Middle East/North Africa,Money Management,father
1921,0,male,Japan,East Asia,Technology-Medical,father
1960,68,male,Mexico,Latin America,Mining and metals,father
1979,58,male,United States,North America,"Retail, Restaurant",not inherited
1975,59,male,United States,North America,Media,not inherited
1961,72,male,Canada,North America,Money Management,not inherited
1985,57,male,United Kingdom,Europe,"Retail, Restaurant",not inherited
0,0,male,Germany,Europe,Media,not inherited
1953,54,male,Saudi Arabia,Middle East/North Africa,Money Management,father
1949,53,male,Denmark,Europe,Consumer,3rd generation
1938,81,female,United States,North America,Real Estate,not inherited
1972,0,male,United States,North America,Media,not inherited
1947,0,male,Japan,East Asia,Media,father
1984,47,male,United States,North America,Technology-Computer,not inherited
1884,0,male,Italy,Europe,Consumer,5th generation or longer
1986,56,male,United States,North America,Real Estate,not inherited
1969,47,male,United States,North America,Consumer,father
1968,59,male,United States,North America,Real Estate,not inherited
1954,0,male,Germany,Europe,Real Estate,father
1972,0,male,Canada,North America,Technology-Computer,not inherited
1976,0,male,Japan,East Asia,"Retail, Restaurant",not inherited
1898,43,male,United States,North America,Constrution,4th generation
1979,55,male,United States,North America,Technology-Medical,not inherited
1934,71,male,United States,North America,Energy,father
1991,66,male,United States,North America,Other,not inherited
1966,83,male,Malaysia,East Asia,Money Management,not inherited
1898,70,male,United States,North America,Constrution,4th generation
1810,0,,France,Europe,Consumer,3rd generation
1902,0,male,Germany,Europe,Non-consumer industrial,father
1924,84,male,Canada,North America,Energy,father
1800,81,male,United Kingdom,Europe,Money Management,4th generation
1948,0,male,Argentina,Latin America,Energy,father
1989,54,male,United States,North America,Energy,not inherited
1982,65,male,China,East Asia,Consumer,not inherited
1982,49,male,United Kingdom,Europe,"Retail, Restaurant",not inherited
1912,68,male,Switzerland,Europe,Constrution,4th generation
0,0,,Germany,Europe,Consumer,not inherited
1615,12,male,Germany,Europe,Money Management,5th generation or longer
0,0,male,Germany,Europe,Media,not inherited
1849,0,,Germany,Europe,Consumer,4th generation
1989,45,male,India,South Asia,Energy,father
1978,48,male,Japan,East Asia,Money Management,not inherited
1941,0,male,Liechtenstein,Europe,Constrution,not inherited
1987,66,male,Sweden,Europe,Diversified financial,not inherited
1996,42,male,Russia,Europe,Money Management,not inherited
1972,73,male,United States,North America,Real Estate,not inherited
1974,63,male,Taiwan,East Asia,Technology-Computer,not inherited
1955,0,male,Malaysia,East Asia,0,not inherited
1984,57,male,Malaysia,East Asia,Media,not inherited
1890,0,male,Mexico,Latin America,Diversified financial,3rd generation
1946,0,,Saudi Arabia,Middle East/North Africa,Diversified financial,not inherited
1870,79,male,Portugal,Europe,Energy,3rd generation
1975,41,male,Denmark,Europe,"Retail, Restaurant",father
1952,87,male,Israel,Middle East/North Africa,Consumer,not inherited
1949,0,female,Switzerland,Europe,Constrution,not inherited
1985,0,male,Switzerland,Europe,Money Management,not inherited
1928,68,male,Switzerland,Europe,Other,father
2003,52,male,Australia,North America,Mining and metals,not inherited
1990,58,male,Georgia,Europe,Diversified financial,not inherited
1965,90,male,Germany,Europe,"Retail, Restaurant",not inherited
1990,45,male,United States,North America,Hedge funds,not inherited
1961,69,male,Singapore,East Asia,Real Estate,father
1925,50,female,Mexico,Latin America,Consumer,3rd generation
1935,85,male,Singapore,East Asia,Money Management,father
1960,0,male,Taiwan,East Asia,Non-consumer industrial,not inherited
1978,0,male,Thailand,East Asia,Non-consumer industrial,3rd generation
1971,59,male,United States,North America,"Retail, Restaurant",not inherited
1920,85,male,United States,North America,Money Management,not inherited
1905,62,male,United States,North America,"Retail, Restaurant",3rd generation
1940,0,male,United States,North America,Consumer,not inherited
1910,72,male,United States,North America,"Retail, Restaurant",father
1922,61,male,United States,North America,Money Management,father
1985,67,male,United States,North America,Technology-Computer,not inherited
1958,75,male,Mexico,Latin America,"Retail, Restaurant",not inherited
1969,39,male,United States,North America,Consumer,father
1916,0,male,Spain,Europe,Diversified financial,3rd generation
1960,65,male,Brazil,Latin America,Money Management,not inherited
1946,48,male,Japan,East Asia,Non-consumer industrial,not inherited
1989,50,male,United Kingdom,Europe,Energy,father
1973,81,male,United States,North America,Consumer,not inherited
1925,37,female,Mexico,Latin America,Consumer,3rd generation
1869,51,female,United States,North America,Consumer,3rd generation
1972,50,male,United Kingdom,Europe,Media,not inherited
1968,66,male,United States,North America,"Retail, Restaurant",not inherited
1986,48,male,United States,North America,"Retail, Restaurant",not inherited
1991,40,male,Russia,Europe,Mining and metals,not inherited
1979,79,male,United States,North America,Technology-Medical,not inherited
1865,71,male,United States,North America,Money Management,3rd generation
1865,76,female,United States,North America,Diversified financial,3rd generation
1848,0,male,France,Europe,Money Management,father
1914,71,male,France,Europe,Other,father
1886,68,male,Germany,Europe,Consumer,father
1951,59,male,Sweden,Europe,Other,3rd generation
1925,85,female,Canada,North America,Money Management,spouse/widow
1951,61,female,Sweden,Europe,Consumer,3rd generation
1974,50,male,Japan,East Asia,Technology-Computer,not inherited
1889,68,male,Japan,East Asia,Technology-Computer,3rd generation
1937,0,male,Malaysia,East Asia,Media,not inherited
1980,54,male,India,South Asia,Diversified financial,not inherited
1998,75,male,Mexico,Latin America,Non-consumer industrial,not inherited
1960,83,male,United States,North America,Consumer,not inherited
1970,72,male,United States,North America,"Retail, Restaurant",not inherited
1950,63,male,Sweden,Europe,Technology-Medical,father
1976,70,male,United States,North America,Private equity/leveraged buyout,not inherited
1968,85,male,United States,North America,Technology-Computer,not inherited
1968,81,male,Australia,North America,Real Estate,not inherited
1976,70,male,United States,North America,Private equity/leveraged buyout,not inherited
1975,77,male,United Kingdom,Europe,Diversified financial,not inherited
1973,62,male,India,South Asia,"Retail, Restaurant",not inherited
1972,63,male,United Kingdom,Europe,Media,not inherited
1977,57,male,Norway,Europe,"Retail, Restaurant",not inherited
1963,63,male,Hong Kong,East Asia,Real Estate,father
1981,0,male,Mexico,Latin America,Money Management,not inherited
1990,0,male,Mexico,Latin America,Mining and metals,not inherited
1925,32,female,Mexico,Latin America,Consumer,3rd generation
1947,48,male,Sweden,Europe,Consumer,father
1895,0,male,Switzerland,Europe,Consumer,3rd generation
1945,49,male,Thailand,East Asia,Media,father
1951,0,male,Turkey,Middle East/North Africa,Money Management,not inherited
1972,45,male,United Kingdom,Europe,Media,not inherited
1977,74,male,United States,North America,Real Estate,not inherited
1968,58,male,United States,North America,0,not inherited
1988,48,male,United States,North America,Media,not inherited
1951,0,male,Switzerland,Europe,Technology-Computer,father
1946,60,male,United States,North America,Consumer,not inherited
1991,68,male,United States,North America,Money Management,father
1920,55,male,United States,North America,Real Estate,father
1989,0,male,Canada,North America,Other,not inherited
1975,66,male,Italy,Europe,Consumer,not inherited
1968,66,male,Argentina,Latin America,Consumer,father
1975,51,male,United States,North America,Consumer,not inherited
1982,71,male,United States,North America,Consumer,not inherited
1960,63,male,United States,North America,Real Estate,not inherited
1899,69,male,United Kingdom,Europe,"Retail, Restaurant",father
1857,33,male,India,South Asia,Mining and metals,4th generation
1975,0,male,United States,North America,Media,not inherited
1946,74,male,Italy,Europe,Consumer,not inherited
1958,53,male,Indonesia,East Asia,Consumer,father
1960,60,male,United States,North America,Real Estate,not inherited
1945,87,male,United States,North America,Consumer,not inherited
1981,0,male,United States,North America,Energy,not inherited
1947,60,male,United States,North America,Money Management,father
1982,0,male,United States,North America,Technology-Computer,not inherited
1919,70,male,United States,North America,Money Management,not inherited
1982,0,male,United States,North America,Other,not inherited
1870,80,male,United States,North America,Energy,3rd generation
1956,88,male,Belgium,Europe,Diversified financial,not inherited
1966,72,male,India,South Asia,Technology-Medical,not inherited
1867,81,male,Germany,Europe,"Retail, Restaurant",3rd generation
1960,80,male,Netherlands,Europe,Other,not inherited
1971,69,male,United States,North America,Media,not inherited
1913,87,male,Germany,Europe,Consumer,father
1950,88,male,Japan,East Asia,"Retail, Restaurant",not inherited
1980,60,male,United States,North America,Diversified financial,not inherited
1969,63,female,India,South Asia,Non-consumer industrial,spouse/widow
1969,0,male,India,South Asia,Diversified financial,not inherited
0,0,male,Chile,Latin America,banking,not inherited
0,0,male,Chile,Latin America,Consumer,not inherited
1904,0,male,Colombia,Latin America,Consumer,father
1889,72,male,Colombia,Latin America,Consumer,not inherited
1972,56,male,Germany,Europe,Technology-Computer,not inherited
1835,74,male,Germany,Europe,Media,4th generation
1953,0,male,Germany,Europe,Constrution,father
1945,60,male,Germany,Europe,Non-consumer industrial,not inherited
1954,73,male,Hong Kong,East Asia,Real Estate,not inherited
1951,0,male,Indonesia,East Asia,Consumer,not inherited
1960,0,male,United Arab Emirates,Middle East/North Africa,Diversified financial,father
1962,65,female,United States,North America,"Retail, Restaurant",father
1983,69,male,United States,North America,Hedge funds,not inherited
1927,42,male,United States,North America,Diversified financial,3rd generation
1928,49,male,United States,North America,Diversified financial,3rd generation
1865,52,female,United States,North America,Money Management,3rd generation
1977,64,male,Spain,Europe,"Retail, Restaurant",father
1953,96,male,Austria,Europe,"Retail, Restaurant",not inherited
1960,75,male,United Kingdom,Europe,Consumer,not inherited
1947,64,female,Sweden,Europe,Consumer,father
1865,80,female,United States,North America,Money Management,3rd generation
1928,47,male,United States,North America,Diversified financial,3rd generation
1865,85,male,United States,North America,Money Management,3rd generation
1998,42,male,China,East Asia,Technology-Computer,not inherited
1948,0,male,Indonesia,East Asia,Real Estate,not inherited
1934,49,male,Japan,East Asia,Consumer,father
1971,70,male,Japan,East Asia,"Retail, Restaurant",not inherited
0,0,male,Japan,East Asia,Real Estate,not inherited
1983,0,male,Japan,East Asia,Technology-Computer,not inherited
1955,50,male,Japan,East Asia,Other,father
1946,65,male,United States,North America,Money Management,father
1948,64,male,Brazil,Latin America,"Retail, Restaurant",father
1967,0,male,United States,North America,Technology-Computer,not inherited
1954,78,male,Hong Kong,East Asia,Real Estate,not inherited
1981,0,male,United States,North America,Other,not inherited
1964,66,male,United States,North America,Constrution,not inherited
1920,56,male,France,Europe,Energy,3rd generation
1968,47,male,United States,North America,Media,father
1946,81,male,United States,North America,Energy,not inherited
1993,33,male,Israel,Middle East/North Africa,Technology-Computer,not inherited
1946,77,male,United States,North America,Diversified financial,not inherited
1837,62,male,France,Europe,Consumer,4th generation
1956,66,male,Turkey,Middle East/North Africa,Diversified financial,not inherited
1948,60,male,Singapore,East Asia,Diversified financial,father
1938,59,male,South Korea,East Asia,Technology-Computer,father
1975,0,male,United States,North America,Media,not inherited
1960,86,male,United States,North America,Energy,father
1959,75,male,United States,North America,Consumer,not inherited
1980,54,male,United States,North America,0,not inherited
1945,0,male,Argentina,Latin America,Diversified financial,not inherited
1960,68,male,United States,North America,Money Management,not inherited
1925,67,male,United States,North America,Media,not inherited
1961,74,male,Japan,East Asia,Technology-Computer,not inherited
1993,49,male,Russia,Europe,Energy,not inherited
1966,45,male,United States,North America,Technology-Computer,not inherited
1910,67,male,United States,North America,"Retail, Restaurant",father
1967,57,male,United States,North America,Consumer,not inherited
1905,0,male,United States,North America,Real Estate,3rd generation
1963,44,male,United States,North America,Consumer,not inherited
1987,46,male,United States,North America,Media,not inherited
1869,0,female,United States,North America,Consumer,3rd generation
1964,59,male,United States,North America,Media,not inherited
1993,61,male,Philippines,East Asia,Diversified financial,not inherited
1991,69,male,Israel,Middle East/North Africa,Media,not inherited
1960,83,male,Australia,North America,Real Estate,not inherited
1976,79,male,Chile,Latin America,"Retail, Restaurant",not inherited
1928,86,male,Switzerland,Europe,Other,father
1972,56,female,Israel,Middle East/North Africa,"Retail, Restaurant",father
1941,30,male,Venezuela,Latin America,Consumer,father
1948,0,male,Brazil,Latin America,Constrution,not inherited
1948,59,male,Brazil,Latin America,"Retail, Restaurant",father
1929,0,male,Brazil,Latin America,Media,father
1924,0,male,Canada,North America,services,not inherited
1946,0,male,Ecuador,Latin America,Consumer,not inherited
1982,67,female,United States,North America,Constrution,not inherited
1990,60,male,Nigeria,Sub-Saharan Africa,Media,not inherited
1960,84,male,France,Europe,"Retail, Restaurant",not inherited
0,0,,Germany,Europe,"Retail, Restaurant",not inherited
1923,0,,Germany,Europe,0,not inherited
0,0,,Germany,Europe,"Retail, Restaurant",not inherited
1987,62,male,United States,North America,Technology-Computer,not inherited
1950,68,male,Germany,Europe,Non-consumer industrial,father
1993,66,male,United Kingdom,Europe,Consumer,not inherited
1938,45,male,South Korea,East Asia,Technology-Computer,3rd generation
1979,74,male,United States,North America,Real Estate,not inherited
1987,73,male,United States,North America,Technology-Computer,not inherited
1924,96,male,United States,North America,Real Estate,not inherited
1971,75,female,United States,North America,Energy,spouse/widow
1995,0,male,United Arab Emirates,Middle East/North Africa,Real Estate,not inherited
1949,70,male,Germany,Europe,Consumer,father
1994,62,male,United States,North America,Energy,not inherited
1949,63,male,Germany,Europe,Consumer,father
1946,0,male,Japan,East Asia,Money Management,not inherited
1906,51,male,Mexico,Latin America,Constrution,3rd generation
1935,67,male,Singapore,East Asia,Money Management,father
1853,0,female,United States,North America,"Retail, Restaurant",not inherited
1853,0,female,United States,North America,"Retail, Restaurant",spouse/widow
1950,0,male,United States,North America,Hedge funds,not inherited
1886,59,female,United States,North America,Technology-Medical,spouse/widow
1932,73,male,United States,North America,Non-consumer industrial,not inherited
1956,0,male,Saudi Arabia,Middle East/North Africa,Consumer,not inherited
1869,58,male,United States,North America,Consumer,3rd generation
1958,73,male,United States,North America,Real Estate,not inherited
1965,63,male,United States,North America,Real Estate,not inherited
1939,49,male,Mexico,Latin America,Media,father
1936,0,male,Switzerland,Europe,Non-consumer industrial,not inherited
1958,0,male,Spain,Europe,Consumer,not inherited
1982,74,male,United States,North America,Media,not inherited
1969,56,male,United States,North America,Private equity/leveraged buyout,not inherited
1974,69,male,United States,North America,Money Management,not inherited
1976,57,male,United States,North America,Private equity/leveraged buyout,not inherited
1986,0,male,United States,North America,Media,not inherited
1979,61,male,United States,North America,Real Estate,not inherited
1988,53,male,United States,North America,Media,not inherited
1968,0,male,United States,North America,Media,father
1870,90,male,United States,North America,Mining and metals,3rd generation
1971,68,male,Colombia,Latin America,Money Management,not inherited
1993,35,male,Israel,Middle East/North Africa,Technology-Computer,not inherited
1979,44,male,United States,North America,Technology-Medical,not inherited
1989,0,male,Russia,Europe,Energy,not inherited
1950,0,male,United States,North America,Hedge funds,not inherited
1997,54,male,United States,North America,Non-consumer industrial,not inherited
1927,62,male,United States,North America,Real Estate,father
1925,0,male,Brazil,Latin America,Media,father
1995,0,male,Greece,Europe,"Retail, Restaurant",not inherited
1979,48,male,United States,North America,Technology-Medical,not inherited
1976,65,male,Malaysia,East Asia,Mining and metals,not inherited
1964,61,male,United States,North America,Constrution,not inherited
1939,0,female,United States,North America,"Retail, Restaurant",spouse/widow
1928,73,male,United States,North America,Media,father
1969,67,male,United States,North America,"Retail, Restaurant",not inherited
1938,71,female,United States,North America,Real Estate,father
1949,73,male,Germany,Europe,Consumer,father
1994,58,male,United States,North America,Non-consumer industrial,not inherited
1967,88,male,Taiwan,East Asia,Consumer,not inherited
1938,74,female,United States,North America,Real Estate,father
1969,65,female,United States,North America,Consumer,not inherited
1987,55,male,United States,North America,Technology-Computer,not inherited
1958,67,male,United States,North America,Money Management,not inherited
1869,0,male,United States,North America,Other,3rd generation
1962,63,female,United States,North America,Consumer,spouse/widow
1939,67,male,Sweden,Europe,Diversified financial,father
1954,77,male,Canada,North America,Consumer,father
1992,47,male,China,East Asia,Diversified financial,not inherited
1969,74,male,Malaysia,East Asia,Mining and metals,not inherited
1989,57,male,China,East Asia,Non-consumer industrial,not inherited
1980,59,male,United States,North America,Hedge funds,not inherited
1968,72,male,United States,North America,Real Estate,not inherited
1999,48,male,Russia,Europe,Other,not inherited
1995,48,male,China,East Asia,Consumer,not inherited
1968,54,male,United States,North America,Real Estate,not inherited
1853,0,male,United States,North America,"Retail, Restaurant",3rd generation
1888,0,,Argentina,Latin America,Consumer,5th generation or longer
1939,0,male,Brazil,Latin America,Consumer,not inherited
1882,55,male,Canada,North America,"Retail, Restaurant",3rd generation
1957,0,male,Hong Kong,East Asia,Real Estate,not inherited
1950,0,male,Hong Kong,East Asia,Real Estate,not inherited
1966,0,male,India,South Asia,Consumer,not inherited
1946,-7,male,Japan,East Asia,Non-consumer industrial,not inherited
1959,77,male,Japan,East Asia,Real Estate,father
1978,83,male,United Kingdom,Europe,Other,not inherited
1835,73,female,Germany,Europe,Media,spouse/widow
1940,54,male,Philippines,East Asia,Real Estate,father
1946,71,female,Germany,Europe,Media,spouse/widow
1958,88,male,Mexico,Latin America,"Retail, Restaurant",not inherited
1926,75,male,United States,North America,Real Estate,father
1989,74,male,Taiwan,East Asia,Real Estate,not inherited
1984,85,male,United States,North America,Consumer,not inherited
1988,50,male,Germany,Europe,Technology-Computer,not inherited
1952,88,male,United States,North America,Real Estate,not inherited
1994,46,male,China,East Asia,Mining and metals,not inherited
1997,42,male,China,East Asia,Technology-Computer,not inherited
