,demographics.age,demographics.gender,location.citizenship,location.region,wealth.how.industry,wealth.how.inherited
582,39,male,United States,North America,Technology,not inherited
583,0,male,United States,North America,Consumer,not inherited
584,62,male,United States,North America,Real Estate,inherited
585,37,male,Russia,Europe,Energy,not inherited
586,28,male,Mexico,Latin America,Media,inherited
587,0,male,Philippines,East Asia,Financial,not inherited
588,76,male,United Kingdom,Europe,Real Estate,inherited
589,80,male,United States,North America,Financial,not inherited
590,88,male,United States,North America,Consumer,not inherited
591,47,male,Russia,Europe,Financial,not inherited
592,50,male,China,East Asia,Consumer,not inherited
593,32,female,China,East Asia,Real Estate,inherited
594,71,male,Philippines,East Asia,"Retail, Restaurant",not inherited
595,0,male,Philippines,East Asia,Real Estate,not inherited
596,58,male,United States,North America,Energy,inherited
597,60,male,United States,North America,Energy,inherited
598,46,male,United States,North America,Technology,not inherited
599,49,male,France,Europe,Media,inherited
600,62,male,United States,North America,Consumer,not inherited
601,58,male,United States,North America,Energy,inherited
602,60,male,United States,North America,"Retail, Restaurant",not inherited
603,73,male,Germany,Europe,Consumer,inherited
604,68,female,United States,North America,Consumer,inherited
605,0,male,Taiwan,East Asia,Technology,not inherited
606,78,male,United States,North America,Construction,not inherited
607,61,male,Spain,Europe,Financial,inherited
608,50,male,Switzerland,Europe,Construction,inherited
609,51,male,United States,North America,Media,not inherited
610,60,male,United States,North America,Energy,inherited
611,75,male,South Korea,East Asia,Consumer,inherited
612,29,male,United States,North America,Technology,not inherited
613,38,male,United States,North America,Technology,not inherited
614,55,male,United States,North America,Energy,inherited
615,70,male,United States,North America,Financial,inherited
616,63,male,United States,North America,Real Estate,not inherited
617,53,male,Egypt,Europe,Construction,inherited
618,68,male,South Africa,Sub-Saharan Africa,Construction,inherited
619,60,female,United States,North America,"Retail, Restaurant",inherited
620,53,male,United States,North America,Technology,not inherited
621,68,male,Japan,East Asia,Technology,not inherited
622,53,male,United States,North America,Energy,inherited
623,46,male,Australia,North America,Real Estate,inherited
624,57,male,Russia,Europe,Energy,not inherited
625,64,male,United States,North America,"Retail, Restaurant",inherited
626,46,male,Russia,Europe,Construction,not inherited
627,0,male,United States,North America,Consumer,not inherited
628,64,female,United States,North America,Technology,inherited
629,59,male,Canada,North America,Technology,inherited
630,60,male,United States,North America,Technology,not inherited
631,70,male,Australia,North America,Real Estate,not inherited
632,63,male,United States,North America,Other,not inherited
633,65,male,United States,North America,Technology,not inherited
634,63,male,France,Europe,Media,not inherited
635,87,male,Denmark,Europe,Financial,inherited
636,65,female,United States,North America,"Retail, Restaurant",inherited
637,49,female,United States,North America,"Retail, Restaurant",inherited
638,55,male,India,South Asia,Technology,not inherited
639,54,male,Japan,East Asia,Consumer,inherited
640,48,male,United States,North America,Technology,not inherited
641,69,male,United States,North America,Consumer,not inherited
642,0,male,Japan,East Asia,Technology,inherited
643,0,male,Thailand,East Asia,Construction,not inherited
644,0,female,Mexico,Latin America,Consumer,inherited
645,51,female,Hong Kong,East Asia,Real Estate,inherited
646,70,male,Malaysia,East Asia,Financial,not inherited
647,53,male,United States,North America,Energy,inherited
648,46,female,United States,North America,Consumer,inherited
649,53,male,United States,North America,Media,not inherited
650,50,female,United States,North America,Construction,inherited
651,75,male,United States,North America,Construction,inherited
652,57,male,Australia,North America,Construction,not inherited
653,44,female,United States,North America,Construction,inherited
654,0,male,Italy,Europe,Construction,inherited
655,50,male,France,Europe,Media,not inherited
656,52,female,United States,North America,Construction,inherited
657,31,male,United States,North America,Construction,inherited
658,32,male,United States,North America,Consumer,inherited
659,87,male,United States,North America,Consumer,not inherited
660,58,male,Australia,North America,Media,inherited
661,52,male,Germany,Europe,Technology,not inherited
662,82,male,Germany,Europe,"Retail, Restaurant",not inherited
663,0,male,Hong Kong,East Asia,Real Estate,inherited
664,0,male,Italy,Europe,Consumer,inherited
665,0,male,Saudi Arabia,Middle East/North Africa,Financial,not inherited
666,74,male,Italy,Europe,Consumer,not inherited
667,66,male,Germany,Europe,Technology,inherited
668,70,male,United Kingdom,Europe,Financial,inherited
669,68,male,United States,North America,Financial,inherited
670,0,male,United States,North America,Construction,inherited
671,84,male,Bermuda,North America,Technology,not inherited
672,57,male,Ireland,Europe,Consumer,inherited
673,52,male,United States,North America,Consumer,not inherited
674,0,male,Israel,Middle East/North Africa,Consumer,inherited
675,73,male,Switzerland,Europe,Other,inherited
676,54,male,United States,North America,Media,not inherited
677,0,male,Lebanon,Middle East/North Africa,Financial,not inherited
678,56,male,Malaysia,East Asia,Financial,not inherited
679,72,male,United States,North America,Financial,inherited
680,92,male,United States,North America,"Retail, Restaurant",not inherited
681,90,male,United States,North America,Media,inherited
682,63,male,Mexico,Latin America,Construction,inherited
683,0,male,Taiwan,East Asia,Consumer,inherited
684,0,,United Kingdom,Europe,"Retail, Restaurant",inherited
685,71,male,United States,North America,Media,not inherited
686,50,male,Russia,Europe,Construction,not inherited
687,79,male,Philippines,East Asia,Financial,not inherited
688,58,male,Russia,Europe,Energy,not inherited
689,68,male,United States,North America,Real Estate,inherited
690,45,female,Spain,Europe,Consumer,inherited
691,75,male,United States,North America,Technology,not inherited
692,63,male,United States,North America,Consumer,inherited
693,62,male,United States,North America,Media,not inherited
694,50,male,Chile,Latin America,Consumer,inherited
695,0,,Greece,Europe,Financial,not inherited
696,52,male,Ireland,Europe,Consumer,inherited
697,0,male,Japan,East Asia,Real Estate,not inherited
698,69,male,Sweden,Europe,"Retail, Restaurant",not inherited
699,82,male,Portugal,Europe,Financial,inherited
700,0,male,Turkey,Middle East/North Africa,Financial,not inherited
701,0,male,United States,North America,Media,not inherited
702,72,male,United States,North America,Financial,not inherited
703,0,male,United States,North America,Financial,not inherited
704,0,male,Switzerland,Europe,Construction,inherited
705,61,male,Germany,Europe,Media,inherited
706,87,male,Germany,Europe,"Retail, Restaurant",not inherited
707,37,male,United States,North America,"Retail, Restaurant",not inherited
708,61,male,United States,North America,"Retail, Restaurant",not inherited
709,67,male,United States,North America,Technology,not inherited
710,63,male,United States,North America,Technology,not inherited
711,58,male,United States,North America,Financial,inherited
712,65,male,United States,North America,Technology,not inherited
713,34,male,Hong Kong,East Asia,Media,inherited
714,79,male,United States,North America,Other,inherited
715,38,male,United States,North America,Technology,not inherited
716,73,female,China,East Asia,Real Estate,not inherited
717,55,male,Ireland,Europe,Media,not inherited
718,50,male,Russia,Europe,Construction,not inherited
719,79,male,United States,North America,Financial,not inherited
720,85,male,Canada,North America,Financial,inherited
721,68,male,Italy,Europe,Consumer,inherited
722,0,male,Thailand,East Asia,Consumer,inherited
723,0,male,Thailand,East Asia,Media,not inherited
724,45,male,United States,North America,Energy,inherited
725,33,male,United States,North America,Technology,not inherited
726,0,male,United States,North America,Real Estate,not inherited
727,0,female,United States,North America,"Retail, Restaurant",inherited
728,76,male,United States,North America,Financial,not inherited
729,79,male,United States,North America,Construction,not inherited
730,80,female,United States,North America,Technology,not inherited
731,62,male,United States,North America,Financial,not inherited
732,46,male,United States,North America,"Retail, Restaurant",inherited
733,63,male,Colombia,Latin America,Financial,not inherited
734,0,male,France,Europe,"Retail, Restaurant",not inherited
735,0,,Germany,Europe,Construction,inherited
736,55,male,China,East Asia,Real Estate,not inherited
737,63,male,Hong Kong,East Asia,Real Estate,not inherited
738,58,male,Israel,Middle East/North Africa,Energy,inherited
739,60,male,Spain,Europe,Consumer,not inherited
740,54,male,Sweden,Europe,Other,inherited
741,76,male,United States,North America,Consumer,not inherited
742,76,male,United States,North America,Media,not inherited
743,56,male,India,South Asia,Media,not inherited
744,55,male,Germany,Europe,Technology,not inherited
745,0,male,Hong Kong,East Asia,Real Estate,not inherited
746,55,male,Indonesia,East Asia,Financial,not inherited
747,0,male,Japan,East Asia,Consumer,not inherited
748,-42,male,Japan,East Asia,"Retail, Restaurant",not inherited
749,0,male,South Africa,Sub-Saharan Africa,Consumer,inherited
750,44,male,United Kingdom,Europe,Real Estate,inherited
751,47,male,United Arab Emirates,Middle East/North Africa,Financial,inherited
752,0,male,Japan,East Asia,Technology,inherited
753,68,male,Mexico,Latin America,Construction,inherited
754,58,male,United States,North America,"Retail, Restaurant",not inherited
755,59,male,United States,North America,Media,not inherited
756,72,male,Canada,North America,Financial,not inherited
757,57,male,United Kingdom,Europe,"Retail, Restaurant",not inherited
758,0,male,Germany,Europe,Media,not inherited
759,54,male,Saudi Arabia,Middle East/North Africa,Financial,inherited
760,53,male,Denmark,Europe,Consumer,inherited
761,81,female,United States,North America,Real Estate,not inherited
762,0,male,United States,North America,Media,not inherited
763,0,male,Japan,East Asia,Media,inherited
764,47,male,United States,North America,Technology,not inherited
765,0,male,Italy,Europe,Consumer,inherited
766,56,male,United States,North America,Real Estate,not inherited
767,47,male,United States,North America,Consumer,inherited
768,59,male,United States,North America,Real Estate,not inherited
769,0,male,Germany,Europe,Real Estate,inherited
770,0,male,Canada,North America,Technology,not inherited
771,0,male,Japan,East Asia,"Retail, Restaurant",not inherited
772,43,male,United States,North America,Construction,inherited
773,55,male,United States,North America,Technology,not inherited
774,71,male,United States,North America,Energy,inherited
775,66,male,United States,North America,Other,not inherited
776,83,male,Malaysia,East Asia,Financial,not inherited
777,70,male,United States,North America,Construction,inherited
778,0,,France,Europe,Consumer,inherited
779,0,male,Germany,Europe,Construction,inherited
780,84,male,Canada,North America,Energy,inherited
781,81,male,United Kingdom,Europe,Financial,inherited
782,0,male,Argentina,Latin America,Energy,inherited
783,54,male,United States,North America,Energy,not inherited
784,65,male,China,East Asia,Consumer,not inherited
785,49,male,United Kingdom,Europe,"Retail, Restaurant",not inherited
786,68,male,Switzerland,Europe,Construction,inherited
787,0,,Germany,Europe,Consumer,not inherited
788,12,male,Germany,Europe,Financial,inherited
789,0,male,Germany,Europe,Media,not inherited
790,0,,Germany,Europe,Consumer,inherited
791,45,male,India,South Asia,Energy,inherited
792,48,male,Japan,East Asia,Financial,not inherited
793,0,male,Liechtenstein,Europe,Construction,not inherited
794,66,male,Sweden,Europe,Financial,not inherited
795,42,male,Russia,Europe,Financial,not inherited
796,73,male,United States,North America,Real Estate,not inherited
797,63,male,Taiwan,East Asia,Technology,not inherited
798,0,male,Malaysia,East Asia,Other,not inherited
799,57,male,Malaysia,East Asia,Media,not inherited
800,0,male,Mexico,Latin America,Financial,inherited
801,0,,Saudi Arabia,Middle East/North Africa,Financial,not inherited
802,79,male,Portugal,Europe,Energy,inherited
803,41,male,Denmark,Europe,"Retail, Restaurant",inherited
804,87,male,Israel,Middle East/North Africa,Consumer,not inherited
805,0,married couple,Switzerland,Europe,Construction,not inherited
806,0,male,Switzerland,Europe,Financial,not inherited
807,68,male,Switzerland,Europe,Other,inherited
808,52,male,Australia,North America,Construction,not inherited
809,58,male,Georgia,Europe,Financial,not inherited
810,90,male,Germany,Europe,"Retail, Restaurant",not inherited
811,45,male,United States,North America,Financial,not inherited
812,69,male,Singapore,East Asia,Real Estate,inherited
813,50,female,Mexico,Latin America,Consumer,inherited
814,85,male,Singapore,East Asia,Financial,inherited
815,0,male,Taiwan,East Asia,Construction,not inherited
816,0,male,Thailand,East Asia,Construction,inherited
817,59,male,United States,North America,"Retail, Restaurant",not inherited
818,85,male,United States,North America,Financial,not inherited
819,62,male,United States,North America,"Retail, Restaurant",inherited
820,0,male,United States,North America,Consumer,not inherited
821,72,male,United States,North America,"Retail, Restaurant",inherited
822,61,male,United States,North America,Financial,inherited
823,67,male,United States,North America,Technology,not inherited
824,75,male,Mexico,Latin America,"Retail, Restaurant",not inherited
825,39,male,United States,North America,Consumer,inherited
826,0,male,Spain,Europe,Financial,inherited
827,65,male,Brazil,Latin America,Financial,not inherited
828,48,male,Japan,East Asia,Construction,not inherited
829,50,male,United Kingdom,Europe,Energy,inherited
830,81,male,United States,North America,Consumer,not inherited
831,37,female,Mexico,Latin America,Consumer,inherited
832,51,female,United States,North America,Consumer,inherited
833,50,male,United Kingdom,Europe,Media,not inherited
834,66,male,United States,North America,"Retail, Restaurant",not inherited
835,48,male,United States,North America,"Retail, Restaurant",not inherited
836,40,male,Russia,Europe,Construction,not inherited
837,79,male,United States,North America,Technology,not inherited
838,71,male,United States,North America,Financial,inherited
839,76,female,United States,North America,Financial,inherited
840,0,male,France,Europe,Financial,inherited
841,71,male,France,Europe,Other,inherited
842,68,male,Germany,Europe,Consumer,inherited
843,59,male,Sweden,Europe,Other,inherited
844,85,female,Canada,North America,Financial,inherited
845,61,female,Sweden,Europe,Consumer,inherited
846,50,male,Japan,East Asia,Technology,not inherited
847,68,male,Japan,East Asia,Technology,inherited
848,0,male,Malaysia,East Asia,Media,not inherited
849,54,male,India,South Asia,Financial,not inherited
850,75,male,Mexico,Latin America,Construction,not inherited
851,83,male,United States,North America,Consumer,not inherited
852,72,male,United States,North America,"Retail, Restaurant",not inherited
853,63,male,Sweden,Europe,Technology,inherited
854,70,male,United States,North America,Financial,not inherited
855,85,male,United States,North America,Technology,not inherited
856,81,male,Australia,North America,Real Estate,not inherited
857,70,male,United States,North America,Financial,not inherited
858,77,male,United Kingdom,Europe,Financial,not inherited
859,62,male,India,South Asia,"Retail, Restaurant",not inherited
860,63,male,United Kingdom,Europe,Media,not inherited
861,57,male,Norway,Europe,"Retail, Restaurant",not inherited
862,63,male,Hong Kong,East Asia,Real Estate,inherited
863,0,male,Mexico,Latin America,Financial,not inherited
864,0,male,Mexico,Latin America,Construction,not inherited
865,32,female,Mexico,Latin America,Consumer,inherited
866,48,male,Sweden,Europe,Consumer,inherited
867,0,male,Switzerland,Europe,Consumer,inherited
868,49,male,Thailand,East Asia,Media,inherited
869,0,male,Turkey,Middle East/North Africa,Financial,not inherited
870,45,male,United Kingdom,Europe,Media,not inherited
871,74,male,United States,North America,Real Estate,not inherited
872,58,male,United States,North America,Other,not inherited
873,48,male,United States,North America,Media,not inherited
874,0,male,Switzerland,Europe,Technology,inherited
875,60,male,United States,North America,Consumer,not inherited
876,68,male,United States,North America,Financial,inherited
877,55,male,United States,North America,Real Estate,inherited
878,0,male,Canada,North America,Other,not inherited
879,66,male,Italy,Europe,Consumer,not inherited
880,66,male,Argentina,Latin America,Consumer,inherited
881,51,male,United States,North America,Consumer,not inherited
882,71,male,United States,North America,Consumer,not inherited
883,63,male,United States,North America,Real Estate,not inherited
884,69,male,United Kingdom,Europe,"Retail, Restaurant",inherited
885,33,male,India,South Asia,Construction,inherited
886,0,male,United States,North America,Media,not inherited
887,74,male,Italy,Europe,Consumer,not inherited
888,53,male,Indonesia,East Asia,Consumer,inherited
889,60,male,United States,North America,Real Estate,not inherited
890,87,male,United States,North America,Consumer,not inherited
891,0,male,United States,North America,Energy,not inherited
892,60,male,United States,North America,Financial,inherited
893,0,male,United States,North America,Technology,not inherited
894,70,male,United States,North America,Financial,not inherited
895,0,male,United States,North America,Other,not inherited
896,80,male,United States,North America,Energy,inherited
897,88,male,Belgium,Europe,Financial,not inherited
898,72,male,India,South Asia,Technology,not inherited
899,81,male,Germany,Europe,"Retail, Restaurant",inherited
900,80,male,Netherlands,Europe,Other,not inherited
901,69,male,United States,North America,Media,not inherited
902,87,male,Germany,Europe,Consumer,inherited
903,88,male,Japan,East Asia,"Retail, Restaurant",not inherited
904,60,male,United States,North America,Financial,not inherited
905,63,female,India,South Asia,Construction,inherited
906,0,male,India,South Asia,Financial,not inherited
907,0,male,Chile,Latin America,Financial,not inherited
908,0,male,Chile,Latin America,Consumer,not inherited
909,0,male,Colombia,Latin America,Consumer,inherited
910,72,male,Colombia,Latin America,Consumer,not inherited
911,56,male,Germany,Europe,Technology,not inherited
912,74,male,Germany,Europe,Media,inherited
913,0,male,Germany,Europe,Construction,inherited
914,60,male,Germany,Europe,Construction,not inherited
915,73,male,Hong Kong,East Asia,Real Estate,not inherited
916,0,male,Indonesia,East Asia,Consumer,not inherited
917,0,male,United Arab Emirates,Middle East/North Africa,Financial,inherited
918,65,female,United States,North America,"Retail, Restaurant",inherited
919,69,male,United States,North America,Financial,not inherited
920,42,male,United States,North America,Financial,inherited
921,49,male,United States,North America,Financial,inherited
922,52,female,United States,North America,Financial,inherited
923,64,male,Spain,Europe,"Retail, Restaurant",inherited
924,96,male,Austria,Europe,"Retail, Restaurant",not inherited
925,75,male,United Kingdom,Europe,Consumer,not inherited
926,64,female,Sweden,Europe,Consumer,inherited
927,80,female,United States,North America,Financial,inherited
928,47,male,United States,North America,Financial,inherited
929,85,male,United States,North America,Financial,inherited
930,42,male,China,East Asia,Technology,not inherited
931,0,male,Indonesia,East Asia,Real Estate,not inherited
932,49,male,Japan,East Asia,Consumer,inherited
933,70,male,Japan,East Asia,"Retail, Restaurant",not inherited
934,0,male,Japan,East Asia,Real Estate,not inherited
935,0,male,Japan,East Asia,Technology,not inherited
936,50,male,Japan,East Asia,Other,inherited
937,65,male,United States,North America,Financial,inherited
938,64,male,Brazil,Latin America,"Retail, Restaurant",inherited
939,0,male,United States,North America,Technology,not inherited
940,78,male,Hong Kong,East Asia,Real Estate,not inherited
941,0,male,United States,North America,Other,not inherited
942,66,male,United States,North America,Construction,not inherited
943,56,male,France,Europe,Energy,inherited
944,47,male,United States,North America,Media,inherited
945,81,male,United States,North America,Energy,not inherited
946,33,male,Israel,Middle East/North Africa,Technology,not inherited
947,77,male,United States,North America,Financial,not inherited
948,62,male,France,Europe,Consumer,inherited
949,66,male,Turkey,Middle East/North Africa,Financial,not inherited
950,60,male,Singapore,East Asia,Financial,inherited
951,59,male,South Korea,East Asia,Technology,inherited
952,0,male,United States,North America,Media,not inherited
953,86,male,United States,North America,Energy,inherited
954,75,male,United States,North America,Consumer,not inherited
955,54,male,United States,North America,Other,not inherited
956,0,male,Argentina,Latin America,Financial,not inherited
957,68,male,United States,North America,Financial,not inherited
958,67,male,United States,North America,Media,not inherited
959,74,male,Japan,East Asia,Technology,not inherited
960,49,male,Russia,Europe,Energy,not inherited
961,45,male,United States,North America,Technology,not inherited
962,67,male,United States,North America,"Retail, Restaurant",inherited
963,57,male,United States,North America,Consumer,not inherited
964,0,male,United States,North America,Real Estate,inherited
965,44,male,United States,North America,Consumer,not inherited
966,46,male,United States,North America,Media,not inherited
967,0,female,United States,North America,Consumer,inherited
968,59,male,United States,North America,Media,not inherited
969,61,male,Philippines,East Asia,Financial,not inherited
970,69,male,Israel,Middle East/North Africa,Media,not inherited
971,83,male,Australia,North America,Real Estate,not inherited
972,79,male,Chile,Latin America,"Retail, Restaurant",not inherited
973,86,male,Switzerland,Europe,Other,inherited
974,56,female,Israel,Middle East/North Africa,"Retail, Restaurant",inherited
975,30,male,Venezuela,Latin America,Consumer,inherited
976,0,male,Brazil,Latin America,Construction,not inherited
977,59,male,Brazil,Latin America,"Retail, Restaurant",inherited
978,0,male,Brazil,Latin America,Media,inherited
979,0,male,Canada,North America,Consumer,not inherited
980,0,male,Ecuador,Latin America,Consumer,not inherited
981,67,female,United States,North America,Construction,not inherited
982,60,male,Nigeria,Sub-Saharan Africa,Media,not inherited
983,84,male,France,Europe,"Retail, Restaurant",not inherited
984,0,,Germany,Europe,"Retail, Restaurant",not inherited
985,0,,Germany,Europe,Other,not inherited
986,0,,Germany,Europe,"Retail, Restaurant",not inherited
987,62,male,United States,North America,Technology,not inherited
988,68,male,Germany,Europe,Construction,inherited
989,66,male,United Kingdom,Europe,Consumer,not inherited
990,45,male,South Korea,East Asia,Technology,inherited
991,74,male,United States,North America,Real Estate,not inherited
992,73,male,United States,North America,Technology,not inherited
993,96,male,United States,North America,Real Estate,not inherited
994,75,female,United States,North America,Energy,inherited
995,0,male,United Arab Emirates,Middle East/North Africa,Real Estate,not inherited
996,70,male,Germany,Europe,Consumer,inherited
997,62,male,United States,North America,Energy,not inherited
998,63,male,Germany,Europe,Consumer,inherited
999,0,male,Japan,East Asia,Financial,not inherited
1000,51,male,Mexico,Latin America,Construction,inherited
1001,67,male,Singapore,East Asia,Financial,inherited
1002,0,female,United States,North America,"Retail, Restaurant",not inherited
1003,0,female,United States,North America,"Retail, Restaurant",inherited
1004,0,male,United States,North America,Financial,not inherited
1005,59,female,United States,North America,Technology,inherited
1006,73,male,United States,North America,Construction,not inherited
1007,0,male,Saudi Arabia,Middle East/North Africa,Consumer,not inherited
1008,58,male,United States,North America,Consumer,inherited
1009,73,male,United States,North America,Real Estate,not inherited
1010,63,male,United States,North America,Real Estate,not inherited
1011,49,male,Mexico,Latin America,Media,inherited
1012,0,male,Switzerland,Europe,Construction,not inherited
1013,0,male,Spain,Europe,Consumer,not inherited
1014,74,male,United States,North America,Media,not inherited
1015,56,male,United States,North America,Financial,not inherited
1016,69,male,United States,North America,Financial,not inherited
1017,57,male,United States,North America,Financial,not inherited
1018,0,male,United States,North America,Media,not inherited
1019,61,male,United States,North America,Real Estate,not inherited
1020,53,male,United States,North America,Media,not inherited
1021,0,male,United States,North America,Media,inherited
1022,90,male,United States,North America,Construction,inherited
1023,68,male,Colombia,Latin America,Financial,not inherited
1024,35,male,Israel,Middle East/North Africa,Technology,not inherited
1025,44,male,United States,North America,Technology,not inherited
1026,0,male,Russia,Europe,Energy,not inherited
1027,0,male,United States,North America,Financial,not inherited
1028,54,male,United States,North America,Construction,not inherited
1029,62,male,United States,North America,Real Estate,inherited
1030,0,male,Brazil,Latin America,Media,inherited
1031,0,male,Greece,Europe,"Retail, Restaurant",not inherited
1032,48,male,United States,North America,Technology,not inherited
1033,65,male,Malaysia,East Asia,Construction,not inherited
1034,61,male,United States,North America,Construction,not inherited
1035,0,female,United States,North America,"Retail, Restaurant",inherited
1036,73,male,United States,North America,Media,inherited
1037,67,male,United States,North America,"Retail, Restaurant",not inherited
1038,71,female,United States,North America,Real Estate,inherited
1039,73,male,Germany,Europe,Consumer,inherited
1040,58,male,United States,North America,Construction,not inherited
1041,88,male,Taiwan,East Asia,Consumer,not inherited
1042,74,female,United States,North America,Real Estate,inherited
1043,65,female,United States,North America,Consumer,not inherited
1044,55,male,United States,North America,Technology,not inherited
1045,67,male,United States,North America,Financial,not inherited
1046,0,male,United States,North America,Other,inherited
1047,63,female,United States,North America,Consumer,inherited
1048,67,male,Sweden,Europe,Financial,inherited
1049,77,male,Canada,North America,Consumer,inherited
1050,47,male,China,East Asia,Financial,not inherited
1051,74,male,Malaysia,East Asia,Construction,not inherited
1052,57,male,China,East Asia,Construction,not inherited
1053,59,male,United States,North America,Financial,not inherited
1054,72,male,United States,North America,Real Estate,not inherited
1055,48,male,Russia,Europe,Other,not inherited
1056,48,male,China,East Asia,Consumer,not inherited
1057,54,male,United States,North America,Real Estate,not inherited
1058,0,male,United States,North America,"Retail, Restaurant",inherited
1059,0,,Argentina,Latin America,Consumer,inherited
1060,0,male,Brazil,Latin America,Consumer,not inherited
1061,55,male,Canada,North America,"Retail, Restaurant",inherited
1062,0,male,Hong Kong,East Asia,Real Estate,not inherited
1063,0,male,Hong Kong,East Asia,Real Estate,not inherited
1064,0,male,India,South Asia,Consumer,not inherited
1065,-7,male,Japan,East Asia,Construction,not inherited
1066,77,male,Japan,East Asia,Real Estate,inherited
1067,83,male,United Kingdom,Europe,Other,not inherited
1068,73,female,Germany,Europe,Media,inherited
1069,54,male,Philippines,East Asia,Real Estate,inherited
1070,71,female,Germany,Europe,Media,inherited
1071,88,male,Mexico,Latin America,"Retail, Restaurant",not inherited
1072,75,male,United States,North America,Real Estate,inherited
1073,74,male,Taiwan,East Asia,Real Estate,not inherited
1074,85,male,United States,North America,Consumer,not inherited
1075,50,male,Germany,Europe,Technology,not inherited
1076,88,male,United States,North America,Real Estate,not inherited
1077,46,male,China,East Asia,Construction,not inherited
1078,42,male,China,East Asia,Technology,not inherited
1079,0,male,Japan,East Asia,Technology,not inherited
1080,0,,Japan,East Asia,Consumer,not inherited
1081,0,male,Japan,East Asia,Construction,inherited
1082,0,,Japan,East Asia,Other,not inherited
1083,0,,South Korea,East Asia,Financial,not inherited
1084,0,male,Malaysia,East Asia,Consumer,not inherited
1085,0,male,Mexico,Latin America,Other,inherited
1086,49,male,Mexico,Latin America,Financial,not inherited
1087,72,male,Mexico,Latin America,Financial,not inherited
1088,59,female,United States,North America,Real Estate,inherited
1089,66,male,Spain,Europe,Financial,inherited
1090,78,male,United States,North America,Financial,not inherited
1091,64,male,United States,North America,Financial,not inherited
1092,0,female,Germany,Europe,Financial,inherited
1093,76,male,United States,North America,Consumer,not inherited
1094,62,male,Netherlands,Europe,Energy,not inherited
1095,0,male,Taiwan,East Asia,Financial,not inherited
1096,62,female,United States,North America,Real Estate,inherited
1097,40,male,United States,North America,Media,not inherited
1098,54,male,Liechtenstein,Europe,Construction,inherited
1099,51,female,Italy,Europe,Consumer,inherited
1100,71,male,France,Europe,"Retail, Restaurant",not inherited
1101,80,male,Spain,Europe,Construction,inherited
1102,60,male,United States,North America,Energy,not inherited
1103,34,male,Russia,Europe,Energy,not inherited
1104,55,male,Japan,East Asia,Other,inherited
1105,47,male,United States,North America,Financial,not inherited
1106,44,male,Norway,Europe,"Retail, Restaurant",not inherited
1107,49,male,United States,North America,Technology,not inherited
1108,62,male,United States,North America,Technology,not inherited
1109,0,married couple,Switzerland,Europe,Construction,not inherited
1110,0,male,United States,North America,Consumer,inherited
1111,57,male,United States,North America,"Retail, Restaurant",not inherited
1112,0,male,Spain,Europe,Financial,inherited
1113,0,male,Switzerland,Europe,Construction,inherited
1114,69,male,Taiwan,East Asia,Other,not inherited
1115,0,male,United States,North America,"Retail, Restaurant",inherited
1116,68,male,United Kingdom,Europe,Construction,inherited
1117,64,male,Taiwan,East Asia,Technology,not inherited
1118,57,male,Israel,Middle East/North Africa,Construction,inherited
1119,31,male,Brazil,Latin America,Technology,not inherited
1120,77,male,Brazil,Latin America,Consumer,not inherited
1121,87,male,Sweden,Europe,"Retail, Restaurant",not inherited
1122,62,female,United States,North America,"Retail, Restaurant",inherited
1123,63,male,United States,North America,Consumer,not inherited
1124,35,female,United States,North America,Consumer,inherited
1125,35,female,United States,North America,Consumer,inherited
1126,0,female,United States,North America,"Retail, Restaurant",inherited
1127,0,male,United States,North America,Media,not inherited
1128,0,male,United States,North America,Consumer,inherited
1129,51,male,United States,North America,Real Estate,not inherited
1130,31,male,United States,North America,Technology,not inherited
1131,0,male,United States,North America,Energy,not inherited
1132,62,male,Russia,Europe,Construction,not inherited
1133,73,male,Sweden,Europe,Other,not inherited
1134,51,male,Indonesia,East Asia,Financial,not inherited
1135,87,male,Germany,Europe,Technology,inherited
1136,80,male,United Kingdom,Europe,Media,not inherited
1137,75,male,Germany,Europe,"Retail, Restaurant",not inherited
1138,76,male,Sweden,Europe,Other,not inherited
1139,68,male,Venezuela,Latin America,Media,inherited
1140,65,male,United States,North America,"Retail, Restaurant",not inherited
1141,65,male,Denmark,Europe,"Retail, Restaurant",not inherited
1142,44,male,China,East Asia,Consumer,not inherited
1143,60,male,United States,North America,Technology,not inherited
1144,0,male,China,East Asia,"Retail, Restaurant",not inherited
1145,0,male,United States,North America,"Retail, Restaurant",not inherited
1146,58,male,United States,North America,Financial,not inherited
1147,62,male,United States,North America,Financial,not inherited
1148,76,male,United States,North America,Other,not inherited
1149,57,male,United States,North America,Technology,not inherited
1150,74,male,United States,North America,Construction,inherited
1151,50,male,Venezuela,Latin America,Media,inherited
1152,0,male,Bahrain,Middle East/North Africa,Consumer,inherited
1153,0,,Brazil,Latin America,Financial,not inherited
1154,0,male,Brazil,Latin America,Construction,not inherited
1155,63,male,France,Europe,Financial,inherited
1156,0,male,United Kingdom,Europe,Financial,inherited
1157,57,male,Mexico,Latin America,Financial,not inherited
1158,74,male,Chile,Latin America,Construction,not inherited
1159,55,male,United Kingdom,Europe,Construction,inherited
1160,58,male,United States,North America,Financial,not inherited
1161,54,male,United States,North America,Real Estate,not inherited
1162,67,male,United States,North America,"Retail, Restaurant",not inherited
1163,0,male,Italy,Europe,Consumer,not inherited
